Run ID,CIEMAS Lab Hallway Door,CIEMAS Elevator Button 1,CIEMAS Elevator Button 2,CIEMAS Elevator Button 3,CIEMAS Entry Door,Divinity Cafe Door,Chapel Door,West Union Door,Garden Terrace Bench,Wilson Gym,C1 Bus,BC Female Bathroom,BC Male Bathroom,Perkins Printer,Medical Center Entrance,Marketplace,Brodie Gym
1,,,,,,,,,,,,,,,,,
2,26,180,52,36,28,,44,76,42,,,,,,,,
3,5,808,17,1657,25,15,38,22,56,,,,,,,,
4,5,35,7,19,9,59,12,738,178,,,,,,,,
5,1,4,28,4,14,12,,139,11,,,,,,,,
6,14,37,10,61,13,5,6,22,322,15,,,,,,,
7,11,6,4,15,114,7,15,26,632,,,,,,,,
8,,,,,,,,,,,16,,,,,,
9,,,,,,,,,,,14,,,,,,
10,,,,,,,,,,,13,,,,,,
11,,,,,,56,3,19,275,27,,,,,,,
12,5,9,9,34,48,,,,,,,,,,,,
13,,,,,,26,8,21,87,219,,,,,,,
14,24,31,15,38,160,,,,,,,,,,,,
15,20,36,41,11,3,,,,,,,,,,,,
16,,,,,,,,,60,10,,,,,,,
17,,,,,,12,15,,,29,,23,5,,,,
18,,,,,,,,28,,,13,,,,,3,35
