Run ID,CIEMAS Lab Hallway Door,CIEMAS Elevator Button 1,CIEMAS Elevator Button 2,CIEMAS Elevator Button 3,CIEMAS Entry Door,Divinity Cafe Door,Chapel Door,West Union Door,Garden Terrace Bench,Wilson Gym,C1 Bus,BC Female Bathroom ,BC Male Bathroom,Perkins Printer,Medical Center Entrance,Marketplace,Brodie Gym
1,,,,,,,,,,,,,,,,,
2,1,47,7,2,18,6,11,22,17,,,,,,,,
3,1,56,4,178,8,4,9,11,41,,,,,,,,
4,7,15,2,6,26,114,12,18,46,,,,,,,,
5,6,4,7,3,10,23,,228,79,,,,,,,,
6,11,28,6,38,5,2,11,29,583,10,,,,,,,
7,10,2,6,6,109,15,9,22,643,,,,,,,,
8,,,,,,,,,,,18,,,,,,
9,,,,,,,,,,,12,,,,,,
10,,,,,,,,,,,4,,,,,,
11,,,,,,60,3,12,1287,23,,,,,,,
12,3,3,5,19,65,,,,,,,,,,,,
13,,,,,,65,5,12,1502,131,,,,,,,
14,21,24,12,5,200,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,
16,,,,,,,,,563,8,,,,,,,
17,,,,,,39,15,,,29,,40,5,,,,
18,,,,,,,,27,,,3,,,,,3,19
