Isolate Tag	Date	Initials	Site #	"Original Growth Conditions (Media, Temperature, Antibiotic)"																							
DR100	081117	"AW, YK"	9	"MAC, 37C, no ab"																							
DR101	081117	"AW, YK"	9	"MAC, 37C, no ab"																							
DR102	081117	"AW, YK"	9	"MAC, 37C, no ab"																							
DR103	081117	"AW, YK"	9	"MAC, 37C, CTX"																							
DR104	081117	"AW, YK"	9	"MAC, 37C, CTX"																							
DR105	081117	"AW, YK"	9	"TS, 37C, CTX"																							
DR106	081117	"AW, YK"	9	"MAC, 37C, no ab"																							
DR107	082217	YK	11	"TS, 37C, CTX"																							
DR108	082517	YK	11	"TS, 37C, CTX"																							
DR109	091517	"AW, TD, JH"	5	"TS, 37C, CTX"																							
DR110	091517	"AW, TD, JH"	5	"TS, 37C, CTX"																							
DR111	091517	"AW, TD, JH"	5	"TS, 37C, CTX"																							
DR112	091517	"AW, TD, JH"	5	"MAC, 37C, no ab"																							
DR113	091517	"YK, AA, KW"	9	"TS, 37C, CTX"																							
DR114	091517	"YK, AA, KW"	9	"TS, 37C, CTX"																							
DR115	091517	"YK, AA, KW"	9	"TS, 37C, CTX"																							
DR116	091517	"YK, AA, KW"	8	"TS, 37C, CTX"																							
DR117	092017	"AW, TD, JH"	9	"MAC, 37C, no ab"																							
DR118	092017	"AW, TD, JH"	9	"MAC, 37C, no ab"																							
DR119	092017	"AW, TD, JH"	10	"MAC, 37C, no ab"																							
DR120	092017	"AW, TD, JH"	6	"TS, 37C, CTX"																							
DR121	092017	"AW, TD, JH"	10	"TS, 37C, CTX"																							
DR122	092017	"AW, TD, JH"	8	"TS, 37C, CTX"																							
DR123	092017	"AW, TD, JH"	9	"TS, 37C, CTX"																							
DR124	092017	"AW, TD, JH"	9	"TS, 37C, CTX"																							
DR125	092017	"AW, TD, JH"	10	"TS, 37C, CTX"																							
DR126	092217	"AD, BW, FL"	1	"TS, 37C, CTX"																							
DR127	092217	"AD, BW, FL"	4	"TS, 37C, CTX"																							
DR128	092217	"AD, BW, FL"	3	"TS, 37C, CTX"																							
DR129	092217	"YK, AA, KW"	2	"TS, 37C, CTX"																							
DR130	092217	"YK, AA, KW"	5	"TS, 37C, CTX"																							
DR131	092217	"YK, AA, KW"	5	"TS, 37C, CTX"																							
DR132	092017	"AW, TD, JH"	9	"MAC, 37C, CTX"																							
DR133	092017	"AW, TD, JH"	9	"MAC, 37C, CTX"																							
DR134	100517	"AD, BW, FL"	9	"TS, 37C, CTX"																							
DR135	100517	"AD, BW, FL"	9	"TS, 37C, CTX"																							
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
